title,score,genres,consensus
The Martian,91,,"Smart, thrilling, and surprisingly funny,  The Martian  offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott."
Spy,94,,"Simultaneously broad and progressive,  Spy  offers further proof that Melissa McCarthy and writer-director Paul Feig bring out the best in one another -- and delivers scores of belly laughs along the way."
Mustang,98,,Mustang  delivers a bracing -- and thoroughly timely -- message whose power is further bolstered by the efforts of a stellar ensemble cast.
Paddington,98,,"Paddington  brings a beloved children's character into the 21st century without sacrificing his essential charm, delivering a family-friendly adventure as irresistibly cuddly as its star."
Sicario,94,,"Led by outstanding work from Emily Blunt and Benicio del Toro,  Sicario  is a taut, tightly wound thriller with much more on its mind than attention-getting set pieces."
45 Years,97,,45 Years  offers richly thought-provoking rewards for fans of adult cinema -- and a mesmerizing acting showcase for leads Charlotte Rampling and Tom Courtenay.
Mission: Impossible Rogue Nation,93,,Mission: Impossible Rogue Nation  continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.
Carol,94,,"Shaped by Todd Haynes' deft direction and powered by a strong cast led by Cate Blanchett and Rooney Mara,  Carol  lives up to its groundbreaking source material."
Son of Saul,96,,"Grimly intense yet thoroughly rewarding,  Son of Saul  offers an unforgettable viewing experience -- and establishes director László Nemes as a talent to watch."
Room,94,,"Led by incredible work from Brie Larson and Jacob Tremblay,  Room  makes for an unforgettably harrowing -- and undeniably rewarding -- experience."
Shaun the Sheep Movie,99,,"Warm, funny, and brilliantly animated,  Shaun the Sheep  is yet another stop-motion jewel in Aardman's family-friendly crown."
It Follows,97,,"Smart, original, and above all terrifying,  It Follows  is the rare modern horror film that works on multiple levels -- and leaves a lingering sting."
Inside Out,98,,"Inventive, gorgeously animated, and powerfully moving,  Inside Out  is another outstanding addition to the Pixar library of modern animated classics."
Creed,95,,Creed  brings the  Rocky  franchise off the mat for a surprisingly effective seventh round that extends the boxer's saga in interesting new directions while staying true to its classic predecessors' roots.
Brooklyn,97,,Brooklyn  buttresses outstanding performances from Saoirse Ronan and Emory Cohen with a rich period drama that tugs at the heartstrings as deftly as it satisfies the mind.
Selma,99,,"Fueled by a gripping performance from David Oyelowo,  Selma  draws inspiration and dramatic power from the life and death of Martin Luther King, Jr. -- but doesn't ignore how far we remain from the ideals his work embodied."
Star Wars: Episode VII - The Force Awakens,92,,"Packed with action and populated by both familiar faces and fresh blood, The Force Awakens successfully recalls the series' former glory while injecting it with renewed energy."
Spotlight,96,,"Spotlight  gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects."
